BOSS_PIXELS = {
-- hair
{x = 1, y = 1},
{x = 2, y = 2},
{x = 3, y = 3},
{x = 5, y = 1},
{x = 6, y = 2},
{x = 7, y = 3},
{x = 9, y = 1},
{x = 10, y = 2},
{x = 11, y = 3},
{x = 13, y = 1},
{x = 14, y = 2},
{x = 15, y = 3},
{x = 17, y = 1},
{x = 18, y = 2},
{x = 19, y = 3},
-- top head line
{x = 3, y = 4},
{x = 4, y = 4},
{x = 5, y = 4},
{x = 6, y = 4},
{x = 7, y = 4},
{x = 8, y = 4},
{x = 9, y = 4},
{x = 10, y = 4},
{x = 11, y = 4},
{x = 12, y = 4},
{x = 13, y = 4},
{x = 14, y = 4},
{x = 15, y = 4},
{x = 16, y = 4},
{x = 17, y = 4},
{x = 18, y = 4},
{x = 19, y = 4},
-- nose
{x = 12, y = 9},
{x = 13, y = 9},
{x = 12, y = 10},
{x = 13, y = 10},
{x = 13, y = 11},
-- beard
{x = 5, y = 8},

{x = 4, y = 9},
{x = 5, y = 9},
{x = 6, y = 9},
{x = 19, y = 9},

{x = 4, y = 10},
{x = 5, y = 10},
{x = 6, y = 10},
{x = 7, y = 10},
{x = 8, y = 10},
{x = 9, y = 10},
{x = 10, y = 10},
{x = 15, y = 10},
{x = 16, y = 10},
{x = 17, y = 10},
{x = 18, y = 10},
{x = 19, y = 10},

{x = 5, y = 11},
{x = 6, y = 11},
{x = 7, y = 11},
{x = 8, y = 11},
{x = 9, y = 11},
{x = 10, y = 11},
{x = 15, y = 11},
{x = 16, y = 11},
{x = 17, y = 11},
{x = 18, y = 11},

{x = 6, y = 12},
{x = 7, y = 12},
{x = 8, y = 12},
{x = 9, y = 12},
{x = 10, y = 12},
{x = 11, y = 12},
{x = 15, y = 12},
{x = 16, y = 12},
{x = 17, y = 12},
{x = 18, y = 12},

{x = 7, y = 13},
{x = 8, y = 13},
{x = 9, y = 13},
{x = 10, y = 13},
{x = 11, y = 13},
{x = 12, y = 13},
{x = 13, y = 13},
{x = 14, y = 13},
{x = 15, y = 13},
{x = 16, y = 13},
{x = 17, y = 13},

{x = 7, y = 14},
{x = 8, y = 14},
{x = 9, y = 14},
{x = 10, y = 14},
{x = 11, y = 14},
{x = 12, y = 14},
{x = 13, y = 14},
{x = 14, y = 14},
{x = 15, y = 14},
{x = 16, y = 14},
{x = 17, y = 14},

{x = 8, y = 15},
{x = 9, y = 15},
{x = 10, y = 15},
{x = 11, y = 15},
{x = 12, y = 15},
{x = 13, y = 15},
{x = 14, y = 15},
{x = 15, y = 15},
{x = 16, y = 15},

{x = 9, y = 16},
{x = 10, y = 16},
{x = 11, y = 16},
{x = 12, y = 16},
{x = 13, y = 16},
{x = 14, y = 16},
{x = 15, y = 16},

{x = 10, y = 17},
{x = 11, y = 17},
{x = 12, y = 17},
{x = 13, y = 17},
{x = 14, y = 17},

{x = 11, y = 18},
{x = 12, y = 18},
{x = 13, y = 18}
}
